customer_id,Customer Email,Customer Gender,Customer Age
0,carrollallison@example.com,Other,32
1,clarkeashley@example.com,Female,42
2,gonzalestracy@example.com,Other,48
3,bradleyolson@example.org,Female,27
4,bradleymark@example.com,Female,67
5,sheenasmith@example.com,Male,53
6,donaldkeith@example.org,Other,24
7,joelwilliams@example.com,Male,23
8,joshua24@example.com,Other,60
9,clopez@example.com,Male,27
10,mbrown@example.org,Male,48
11,davisjohn@example.net,Male,51
12,jensenwilliam@example.net,Other,27
13,gwendolyn51@example.net,Other,65
14,medinasteven@example.net,Female,48
15,amy41@example.net,Other,18
16,watkinsbarbara@example.com,Other,63
17,mooredeborah@example.org,Female,56
18,brenda20@example.net,Male,19
19,jameslopez@example.com,Female,39
20,rogermcgrath@example.net,Other,28
21,zbond@example.net,Male,66
22,ljohnson@example.org,Female,54
23,carlsonmatthew@example.org,Female,63
24,lbarron@example.org,Male,19
25,johnstonbeth@example.com,Other,35
26,pmercado@example.org,Other,22
27,jeffersonmichael@example.net,Other,21
28,garciastacy@example.com,Other,30
29,shericase@example.net,Male,67
30,jessicahenderson@example.net,Other,22
31,zstewart@example.org,Male,60
32,greenkeith@example.net,Female,36
33,darlenelee@example.org,Male,50
34,fernandezmark@example.org,Male,27
35,jessica10@example.org,Other,24
36,katherinehoward@example.net,Female,65
37,elizabethlamb@example.com,Female,39
38,victor62@example.net,Male,19
39,stevenburns@example.net,Other,33
40,shawn54@example.net,Female,19
41,sheila78@example.org,Male,35
42,woodmargaret@example.org,Male,22
43,abowen@example.org,Female,54
44,laura33@example.org,Other,34
45,david40@example.org,Female,65
46,abigail06@example.com,Female,50
47,bevans@example.org,Female,27
48,juliepowers@example.org,Other,32
49,thomas46@example.net,Male,44
50,ramirezphilip@example.net,Male,66
51,wvargas@example.com,Male,64
52,hgriffin@example.org,Male,54
53,sabrina61@example.org,Male,37
54,natasha18@example.com,Female,68
55,williamscynthia@example.org,Female,50
56,mcgeebrandon@example.org,Male,69
57,pthomas@example.org,Other,47
58,lwilliamson@example.net,Male,27
59,andrew28@example.org,Other,40
60,hannahstephens@example.com,Male,40
61,akelly@example.net,Other,41
62,floresbryan@example.net,Female,64
63,tiffany87@example.com,Female,57
64,jacob67@example.net,Male,61
65,perezdana@example.org,Male,56
66,gillespiegeorge@example.com,Female,49
67,pwilson@example.com,Male,54
68,jbranch@example.net,Other,51
69,william07@example.org,Female,46
70,gabriel83@example.com,Male,27
71,calvarez@example.org,Other,37
72,epatel@example.org,Female,34
73,fbenjamin@example.org,Other,36
74,donaldroberts@example.net,Female,31
75,cooperthomas@example.com,Other,37
76,brookeross@example.net,Other,18
77,nicholsdouglas@example.org,Female,63
78,vgarcia@example.com,Other,55
79,hmccann@example.com,Other,40
80,dclark@example.net,Other,50
81,gonzalezlarry@example.org,Other,29
82,kimjesse@example.com,Male,24
83,dsilva@example.org,Other,57
84,kaylapham@example.com,Other,67
85,cschmidt@example.com,Female,67
86,kimberlyhudson@example.com,Male,46
87,vaustin@example.org,Other,55
88,chelsea84@example.org,Other,42
89,hinescarrie@example.org,Male,40
90,jamesbaxter@example.com,Other,57
91,tyler12@example.net,Male,62
92,paul73@example.com,Male,44
93,michael25@example.net,Female,32
94,davidcox@example.org,Other,65
95,davisnatalie@example.net,Male,60
96,vanessa39@example.net,Female,18
97,deleonedward@example.net,Other,22
98,sheryldawson@example.org,Male,38
99,mark94@example.org,Other,23
100,patriciathompson@example.org,Female,39
101,andersoncourtney@example.org,Other,18
102,james45@example.com,Female,40
103,jason93@example.org,Male,49
104,malloryrogers@example.net,Male,58
105,lisahamilton@example.com,Other,56
106,daniellebrown@example.net,Female,42
107,douglasmccormick@example.net,Other,50
108,mreeves@example.com,Male,33
109,kingthomas@example.com,Female,59
110,bsummers@example.net,Female,60
111,matthew17@example.com,Male,68
112,cheryl25@example.net,Female,68
113,changalicia@example.org,Other,27
114,dflores@example.org,Female,28
115,xelliott@example.net,Male,29
116,eblankenship@example.net,Female,20
117,mary68@example.net,Male,18
118,amcgee@example.net,Female,39
119,kathleenmiller@example.net,Female,41
120,zachary60@example.net,Male,56
121,khenderson@example.org,Other,37
122,dholmes@example.org,Other,29
123,steven13@example.org,Other,36
124,gkane@example.org,Male,63
125,daniel46@example.com,Male,45
126,walljohn@example.net,Female,68
127,abigailbowen@example.net,Male,57
128,jbaker@example.net,Male,49
129,andrewacosta@example.net,Other,55
130,jbartlett@example.org,Male,43
131,stephaniefitzpatrick@example.net,Male,49
132,tamara40@example.org,Female,65
133,nicholas74@example.com,Male,50
134,tony74@example.org,Male,66
135,mrivera@example.org,Female,35
136,ajenkins@example.com,Other,46
137,justinbarron@example.com,Other,21
138,andrewkirby@example.org,Male,58
139,bishoprobin@example.com,Other,31
140,jamesrobertson@example.net,Male,47
141,travis76@example.net,Other,31
142,solismatthew@example.net,Female,38
143,crystaledwards@example.org,Female,38
144,michael71@example.org,Female,25
145,marie15@example.org,Male,46
146,jason55@example.com,Male,39
147,prestonrobert@example.net,Female,22
148,qmartin@example.com,Other,40
149,thompsonamanda@example.org,Female,64
150,beardjessica@example.net,Female,29
151,garciarebecca@example.org,Other,45
152,brucebrian@example.com,Other,46
153,myerszachary@example.org,Male,58
154,dperkins@example.org,Female,55
155,mcross@example.com,Male,52
156,rogergriffin@example.net,Male,20
157,shayden@example.net,Male,69
158,williamsmegan@example.com,Male,35
159,roberthaas@example.net,Other,55
160,michaelcollins@example.net,Female,19
161,eortega@example.org,Female,29
162,angela60@example.org,Male,30
163,jacob52@example.net,Male,34
164,ballwilliam@example.com,Male,24
165,mgonzalez@example.net,Male,33
166,rosssean@example.org,Female,32
167,elizabeth48@example.net,Male,41
168,danielle09@example.com,Other,51
169,toddheather@example.com,Male,30
170,brandon58@example.com,Female,44
171,cmartin@example.com,Female,33
172,paulcarter@example.org,Other,36
173,fmoore@example.com,Other,50
174,anthonyrusso@example.com,Male,37
175,sarah08@example.net,Other,42
176,zachary81@example.net,Female,49
177,matthewlewis@example.org,Other,27
178,michael72@example.net,Other,25
179,odonnelljames@example.org,Female,58
180,johnsonjennifer@example.net,Other,60
181,dustin11@example.com,Other,34
182,michele01@example.org,Female,33
183,racheldouglas@example.com,Female,32
184,ztaylor@example.net,Female,29
185,jamiesmith@example.com,Other,50
186,kyle39@example.net,Female,33
187,smosley@example.net,Male,46
188,claytoncheryl@example.net,Other,37
189,collinsheather@example.org,Other,46
190,smithterri@example.com,Other,70
191,petersanders@example.com,Female,57
192,michaelharris@example.org,Other,58
193,allenpeter@example.net,Male,18
194,rachelsmith@example.org,Male,57
195,qfoster@example.org,Other,29
196,steindanny@example.net,Female,66
197,vincentanderson@example.net,Male,30
198,cmiller@example.org,Female,60
199,hendersonjesse@example.net,Other,66
200,hthomas@example.com,Other,51
201,colemanalex@example.com,Other,55
202,gnixon@example.org,Female,26
203,jeffrey03@example.net,Male,46
204,erika47@example.org,Female,43
205,jennifer22@example.net,Male,55
206,kelseycurry@example.net,Male,47
207,rtate@example.org,Female,48
208,raymond21@example.com,Male,38
209,castillochristopher@example.com,Other,62
210,mitchellpatricia@example.net,Male,39
211,jonathan58@example.net,Other,49
212,banksbrittany@example.com,Female,34
213,martinezcory@example.net,Male,62
214,aguirrederrick@example.com,Male,28
215,reedalison@example.org,Female,59
216,walkerleslie@example.net,Female,18
217,millerjill@example.com,Other,20
218,zcoleman@example.net,Male,44
219,timothy22@example.com,Female,65
220,julie53@example.com,Female,70
221,wanderson@example.com,Other,34
222,yhunter@example.com,Other,64
223,jensenwilliam@example.org,Female,67
